UID          PID    PPID  C STIME TTY          TIME CMD
vboxuser    1506    1482  0 16:24 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
vboxuser    1513    1506  0 16:24 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
vboxuser    1520    1340  0 16:24 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
vboxuser    1525    1340  0 16:24 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
vboxuser    1538    1340  0 16:24 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
vboxuser    1544    1340  0 16:24 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
vboxuser    1548    1340  0 16:24 ?        00:00:00 /usr/libexec/goa-daemon
vboxuser    1562    1340  0 16:24 ?        00:00:00 /usr/libexec/goa-identity-service
vboxuser    1572    1340  0 16:24 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
vboxuser    1616    1340  0 16:24 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
vboxuser    1622    1340  0 16:24 ?        00:00:00 /usr/libexec/evolution-source-registry
vboxuser    1629    1340  0 16:24 ?        00:00:00 /usr/libexec/evolution-calendar-factory
vboxuser    1636    1340  0 16:25 ?        00:00:00 /usr/libexec/xdg-desktop-portal
vboxuser    1640    1340  0 16:25 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
vboxuser    1646    1340  0 16:25 ?        00:00:00 /usr/libexec/dconf-service
vboxuser    1652    1340  0 16:25 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
vboxuser    1668    1374  0 16:25 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.2 /org/gtk/gvfs/exec_spaw/0
vboxuser    1683    1340  0 16:25 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
vboxuser    1685    1340  0 16:25 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
vboxuser    1697    1340  0 16:25 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
vboxuser    1699    1340  0 16:25 ?        00:00:00 /usr/libexec/gsd-a11y-settings
vboxuser    1700    1697  0 16:25 ?        00:00:01 /usr/bin/ibus-daemon --panel disable
vboxuser    1701    1340  0 16:25 ?        00:00:00 /usr/libexec/gsd-color
vboxuser    1703    1340  0 16:25 ?        00:00:00 /usr/libexec/gsd-datetime
vboxuser    1705    1340  0 16:25 ?        00:00:00 /usr/libexec/gsd-housekeeping
vboxuser    1706    1340  0 16:25 ?        00:00:00 /usr/libexec/gsd-keyboard
vboxuser    1707    1340  0 16:25 ?        00:00:00 /usr/libexec/gsd-media-keys
vboxuser    1708    1340  0 16:25 ?        00:00:00 /usr/libexec/gsd-power
vboxuser    1719    1340  0 16:25 ?        00:00:00 /usr/libexec/gsd-print-notifications
vboxuser    1720    1340  0 16:25 ?        00:00:00 /usr/libexec/gsd-rfkill
vboxuser    1721    1340  0 16:25 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
vboxuser    1722    1340  0 16:25 ?        00:00:00 /usr/libexec/gsd-sharing
vboxuser    1745    1340  0 16:25 ?        00:00:00 /usr/libexec/gsd-smartcard
vboxuser    1747    1700  0 16:25 ?        00:00:00 /usr/libexec/ibus-dconf
vboxuser    1748    1340  0 16:25 ?        00:00:00 /usr/libexec/gsd-sound
vboxuser    1749    1700  0 16:25 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
vboxuser    1750    1340  0 16:25 ?        00:00:00 /usr/libexec/gsd-wacom
vboxuser    1768    1340  0 16:25 ?        00:00:00 /usr/libexec/ibus-portal
vboxuser    1796    1340  0 16:25 ?        00:00:00 /usr/libexec/gsd-printer
vboxuser    1800    1482  0 16:25 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
vboxuser    1803    1482  0 16:25 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
vboxuser    1865    1700  0 16:25 ?        00:00:00 /usr/libexec/ibus-engine-simple
vboxuser    1887    1340  0 16:25 ?        00:00:00 /usr/libexec/gnome-initial-setup --existing-user
vboxuser    1889    1340  0 16:25 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
vboxuser    1916    1340  0 16:25 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
vboxuser    1944    1503  0 16:25 ?        00:00:00 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com -M 0 -D 0:0:800:600:1:27:0:74:0:0
root        1983       1  0 16:25 ?        00:00:00 /usr/libexec/ubuntu-advantage-desktop-daemon
vboxuser    2007    1340  0 16:25 ?        00:00:00 /usr/libexec/gvfsd-metadata
vboxuser    2049    1340  0 16:25 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
vboxuser    2052    1340  0 16:25 ?        00:00:02 /usr/libexec/gnome-terminal-server
vboxuser    2172    2052  0 16:25 pts/0    00:00:00 bash
root        2187       2  0 16:25 ?        00:00:00 [kworker/0:3-events]
vboxuser    2231    1482  0 16:26 ?        00:00:00 update-notifier
root        2564       1  1 16:29 ?        00:00:15 /usr/lib/snapd/snapd
root        3161       2  0 16:29 ?        00:00:00 [kworker/u8:2-events_power_efficient]
root        3332       2  0 16:30 ?        00:00:00 [kworker/1:0-events]
vboxuser    3497    1340  0 16:31 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
vboxuser    3678    3497  0 16:31 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
root        3715       2  0 16:32 ?        00:00:00 [kworker/2:0]
vboxuser    3760    1369  0 16:36 ?        00:00:00 /usr/bin/ssh-agent -D -a /run/user/1000/keyring/.ssh
root        3796       2  0 16:36 ?        00:00:00 [kworker/0:1-events]
root        3831       2  0 16:40 ?        00:00:00 [kworker/u8:0-events_unbound]
vboxuser    3876    2172  0 16:44 pts/0    00:00:00 ps -ef
